source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,parallax
2165253409484869888,13.689042,13.982224,13.230391,0.7518339,0.4942700055363482
2165502242710491520,16.593985,17.699406,15.561819,2.1375866,0.257277610764349
2165504922770123008,16.102858,17.05106,15.136727,1.9143324,0.2142658494188154
2165575733883402624,17.0861,17.713844,16.333107,1.3807373,0.3212816548293165
2165590955247653888,17.058386,17.876797,16.158312,1.7184849,0.223930568036126
2165592608824150400,13.720645,14.137348,13.117086,1.0202618,0.3333884158372726
2165950396771558912,15.673176,16.296106,14.895471,1.4006357,0.2987201904338043
2166808565605954688,16.38494,16.9908,15.6312475,1.3595533,0.3071896860957058
2166809149721392768,17.644861,18.346027,16.852226,1.4938011,0.2694477236266985
2166810180513717248,15.939951,16.467176,15.241664,1.2255125,0.2939454997045587
2166822172062613376,15.296875,15.765024,14.655991,1.1090336,0.319563525664038
2166899271001481856,16.80562,17.392536,16.082712,1.309824,0.3269761684992354
2167088700547486464,15.829843,16.290905,15.135466,1.1554394,0.3127893420729369
2167325331760663680,17.103565,17.914015,16.212809,1.7012062,0.4425382129452397
2168830082142415744,16.615011,17.478697,15.693279,1.7854176,0.3558269184850842
2171346559326951552,14.355455,14.622472,13.928526,0.6939459,0.5189488810686349
2171348620911485184,15.390497,15.809551,14.779951,1.0296001,0.5599441685855886
2180353449340116224,16.3871,16.982147,15.609365,1.3727818,0.5448903880129888
2180354548851660672,16.361706,16.982954,15.599203,1.3837509,0.5332411795813092
2180450103283991424,16.934332,17.581728,16.150103,1.4316254,0.5398726340536188
1962634856951746560,16.674797,17.149563,16.028921,1.1206417,0.2798322042574497
1963011336604851968,15.908686,16.36127,15.288764,1.0725069,0.3140020868619306
1978868420280790912,17.799383,18.351873,17.123363,1.2285099,0.119246625472527
1978880278705186560,14.824196,14.982102,14.137265,0.8448372,0.1919212487255683
1978882649527313664,17.005852,17.900375,16.09361,1.8067646,0.1699649874780059
2162388558909574912,17.977509,19.071949,16.97871,2.0932388,0.4445703254749409
2162388803734461440,16.87963,17.771816,15.942119,1.8296976,0.3965885021263537
2162389181691577856,16.51794,17.300215,15.637144,1.6630707,0.4610288977935095
2162392166682273408,17.7688,18.743755,16.770346,1.9734097,0.3828079516050766
2162392342787663104,16.881111,17.722662,15.972113,1.7505493,0.3959352092562407
2162392411507149952,15.467992,16.01745,14.745314,1.2721367,0.3825775867262365
2162393133061691776,14.622067,15.079995,13.975982,1.1040134,0.3843076019401021
2162393781590309760,17.571453,18.468145,16.663532,1.8046131,0.4350705459675152
2162394606224151424,17.550484,18.462227,16.607262,1.8549652,0.3845703093137588
2162575480201100032,16.554707,17.114454,15.775763,1.3386917,0.4246611943382408
2163425265250735488,13.967433,14.359437,13.392195,0.96724224,0.4976012479338279
2163595930074363136,17.240639,18.3151,16.193329,2.1217709,0.2448366134883418
2163596647308110848,16.34471,16.696701,15.828863,0.8678379,0.2721672970822657
2163597441902704128,14.609235,14.818355,14.255935,0.5624199,0.3976217963090206
2163598919371449600,16.164316,16.881615,15.324669,1.5569458,0.2850465122115745
2163603832796045824,17.683279,17.966127,16.80172,1.1644077,0.3052275112686074
2163604515688749312,17.58511,18.245358,16.838633,1.4067249,0.3074253519653088
2163678668328000256,17.138418,17.874434,16.26492,1.6095142,0.1633751900886812
2164443619175996160,16.481184,17.018171,15.783881,1.2342901,0.31171146323552
2164495807306110848,17.79077,18.54849,16.962828,1.5856628,0.49960374195002
2164498079362496000,13.606759,13.901402,13.14179,0.7596121,0.4631473376235782
2164498182441735424,9.232846,10.415301,8.174275,2.241026,0.4914283061207827
2165448229200391040,17.1472,18.17791,16.135416,2.0424938,0.1939486154706509
2165495813126596608,17.949917,19.309662,16.826946,2.4827156,0.3351858299064548
2165501860440672128,16.11715,17.640888,14.931549,2.7093391,0.1862228889354025
2165502345789749376,16.095903,17.188572,15.060573,2.1279993,0.2861131526509493
2165591848600266752,12.19304,13.229897,11.193271,2.0366259,0.3520092809693849
2165592780622814592,14.991438,15.497175,14.30741,1.189765,0.2503506786006401
2165594223731696384,17.847235,18.641499,16.988285,1.6532135,0.2899801978623291
2165594498609637120,16.403988,16.93566,15.701378,1.2342815,0.2627046995138691
2165642254337411200,17.677334,18.466496,16.81467,1.651825,0.3100123690663347
2166806912026177920,15.713696,16.344164,14.937682,1.4064817,0.2660897975860719
2168828162299949952,16.347773,17.278566,15.393139,1.8854275,0.3449635059186718
2168829502329795968,17.081299,18.214743,16.035387,2.1793556,0.4236594527335034
2168831632633595648,15.912798,16.764845,15.00293,1.7619152,0.3685896826887655
2168831770072429056,16.53986,17.365452,15.643435,1.7220173,0.3651156122435693
2168832869584108544,14.186937,15.619683,13.021682,2.5980015,0.3666056435235736
2168833969095726080,15.681686,16.57052,14.747447,1.8230734,0.407974847183531
2171359581667755520,14.135295,14.410816,13.6939535,0.7168627,0.521512619935626
2180369392258652288,14.023225,14.41465,13.440957,0.9736929,0.4955699429641474
2180446770389333760,14.295269,14.581172,13.84196,0.73921204,0.5133688655629838
2180451168435809152,14.064431,14.370216,13.588176,0.7820406,0.5093978032102832
2182117753187734528,14.1113,14.408092,13.64762,0.76047134,0.5171836989593835
1962649837797764736,15.844464,16.173752,15.312365,0.86138725,0.3045082225964836
1963011263591492224,16.87723,17.35115,16.180779,1.170372,0.3144419855351044
1972767749956922112,16.419508,16.999346,15.692356,1.3069897,0.160102098541481
1972783589796268160,15.374937,16.188915,14.488974,1.6999416,0.1612448566183641
1978880450503872512,16.088463,16.368587,15.586539,0.7820482,0.1409932444089332
1978892235894125952,17.472565,18.009396,16.772902,1.2364941,0.1202658962724875
2162382103585487232,16.742262,17.493454,15.890295,1.603159,0.422287940841602
2162382790780260608,15.234289,15.956491,14.38541,1.5710812,0.373357964903097
2162382825140262656,15.94959,16.661901,15.106511,1.5553904,0.3798395971560207
2162384336968630912,14.908646,15.414554,14.218704,1.1958494,0.405750958587518
2162385745717880576,15.1198,15.575537,14.479012,1.0965252,0.3931481066865687
2162386123674985344,16.160423,16.795818,15.377598,1.4182205,0.3925178634426951
2162387944740952832,16.637362,17.312243,15.826867,1.4853754,0.3648282423345563
2162389147331924096,16.138792,16.810581,15.326565,1.4840164,0.4031877106446176
2162392063602912256,17.115133,17.952915,16.186384,1.766531,0.4304284816693324
2162392136629208192,14.332778,14.929955,13.57352,1.3564348,0.3802939419947398
2162392583305807744,16.631119,17.378578,15.780142,1.5984364,0.4281361447052584
2162395263365476608,15.033733,15.517617,14.366955,1.1506624,0.398662361971931
2162690203053182464,14.601511,15.065234,13.941998,1.1232367,0.4822975837888306
2163597368866922752,17.5458,18.161327,16.7463,1.4150276,0.2577168241446861
2163597441902703488,14.391436,14.589079,14.063415,0.5256643,0.3937796465895201
2163603420498034176,17.280123,17.775425,16.616497,1.1589279,0.2495258478328733
2163676709822794240,16.826982,17.724869,15.877269,1.8476,0.1811338281163011
2163677908097464832,17.21612,17.941208,16.356943,1.5842648,0.1420612539666665
2163678389127569536,17.536259,18.31154,16.66755,1.6439915,0.1790166577097768
2164498594758708736,15.364317,15.795616,14.740156,1.05546,0.494359148044689
2165249629913633024,17.36836,18.139048,16.507874,1.6311741,0.496676140753792
2165501555515708544,15.189978,17.000359,13.930781,3.0695772,0.2472727568866999
2165502173991019904,17.97361,18.992622,16.81988,2.1727428,0.2259845248636197
2165502620667606912,17.562216,18.66399,16.538017,2.1259727,0.2302506983653338
2165592913752973696,17.091127,17.821608,16.270275,1.5513325,0.3539496169539897
2165593639616173952,13.505494,14.067569,12.774092,1.293477,0.2533519957667464
2166807466094462976,15.159349,16.322048,14.100764,2.221284,0.2956373280611907
2166809768196825216,15.42213,16.110603,14.607023,1.5035801,0.2930801321625129
2166810180513711616,17.375092,,,,0.3094116382715416
2166825745475446528,17.039637,17.60324,16.327078,1.2761612,0.3095446195696543
2167118245612624512,17.660378,18.57515,16.638988,1.936161,0.3445378910492974
2167958341219654144,14.478507,14.89225,13.87874,1.0135098,0.4307694500321761
2167958925335257216,17.689129,18.464083,16.807974,1.6561089,0.4568776229763494
2168817132823826944,14.232723,15.413839,13.167846,2.2459936,0.3833186324009885
2168833007023077120,17.017698,17.936716,16.074673,1.8620434,0.3533357483078584
2168833277599244800,17.130608,18.08186,16.149788,1.9320717,0.395568558528067
2171347693198292224,15.653674,16.150608,14.98914,1.1614685,0.5227891355554587
2171347864996982656,9.949722,10.952152,8.972402,1.9797506,0.540705218763052
2180355888881492864,15.234578,15.698565,14.550648,1.1479168,0.529998133129483
1962701411766455424,17.678753,18.13019,17.073534,1.0566559,0.3335698331616386
1963011096086690176,15.487404,15.976722,14.840028,1.136694,0.2898248120758635
1963011233525636992,16.350594,16.861568,15.683393,1.1781759,0.3880799510197292
1978856776643794176,17.265818,17.72665,16.649849,1.0768013,0.1432093117235969
1978880175625970432,15.866189,16.258945,15.27757,0.9813757,0.1510107509502758
2162388425777314304,16.455898,17.29797,15.543768,1.7542019,0.3729511811021056
2162389490921791872,17.103868,17.87753,16.194357,1.6831722,0.4043601875031893
2162390109404523904,16.452793,17.250566,15.570783,1.6797838,0.3974729934802947
2162390934038275328,14.899614,15.522666,14.122438,1.4002275,0.3836070668341971
2162392548946076544,16.494204,17.183296,15.67134,1.5119562,0.4524810932113928
2162581630571667968,17.83689,18.528664,16.8194,1.7092628,0.4439371828671526
2162582038594023040,17.902758,18.719376,17.009613,1.7097626,0.3888630232225931
