cluster,fixed_single_k_precision,fixed_single_k_recall,fixed_single_k_f1,fixed_single_k_contam,fixed_single_k_runtime_s,full_core_precision,full_core_recall,full_core_f1,full_core_contam,full_core_runtime_s,no_anchor_prior_precision,no_anchor_prior_recall,no_anchor_prior_f1,no_anchor_prior_contam,no_anchor_prior_runtime_s,no_candidate_protocol_precision,no_candidate_protocol_recall,no_candidate_protocol_f1,no_candidate_protocol_contam,no_candidate_protocol_runtime_s,no_center_refinement_precision,no_center_refinement_recall,no_center_refinement_f1,no_center_refinement_contam,no_center_refinement_runtime_s,no_objective_regularization_precision,no_objective_regularization_recall,no_objective_regularization_f1,no_objective_regularization_contam,no_objective_regularization_runtime_s,no_quality_cut_precision,no_quality_cut_recall,no_quality_cut_f1,no_quality_cut_contam,no_quality_cut_runtime_s,no_support_gate_precision,no_support_gate_recall,no_support_gate_f1,no_support_gate_contam,no_support_gate_runtime_s,tier
UBC1027,1.0,0.7292576419213974,0.8434343434343434,0.0,0.0480918000030214,1.0,0.9126637554585152,0.954337899543379,0.0,0.1565838999813422,1.0,0.7292576419213974,0.8434343434343434,0.0,0.1017629999987548,1.0,0.8820960698689956,0.9373549883990718,0.0,0.6035923000017647,1.0,0.7336244541484717,0.8463476070528968,0.0,0.0476712000017869,1.0,0.7336244541484717,0.8463476070528968,0.0,0.0920945000034407,1.0,0.7336244541484717,0.8463476070528968,0.0,0.0933958000023267,1.0,0.5240174672489083,0.6876790830945559,0.0,0.1019270999968284,2
UBC1028,1.0,1.0,1.0,0.0,0.0268773999996483,1.0,1.0,1.0,0.0,0.2497906999196857,1.0,1.0,1.0,0.0,0.0708457000000635,1.0,1.0,1.0,0.0,0.1294310000012046,1.0,1.0,1.0,0.0,0.0340937000000849,1.0,1.0,1.0,0.0,0.0678494000021601,1.0,1.0,1.0,0.0,0.0688731999980518,0.0972222222222222,0.35,0.1521739130434782,0.9027777777777778,0.0745599000001675,0
UBC1029,1.0,0.9361702127659576,0.967032967032967,0.0,0.0348669999948469,1.0,0.9772727272727272,0.9885057471264368,0.0,0.1611514000687748,1.0,0.9361702127659576,0.967032967032967,0.0,0.084560600000259,1.0,0.9361702127659576,0.967032967032967,0.0,0.322180399998615,1.0,0.9361702127659576,0.967032967032967,0.0,0.0409550000040326,1.0,0.9361702127659576,0.967032967032967,0.0,0.0795620999997481,1.0,1.0,1.0,0.0,0.0777484999998705,0.0,0.0,0.0,1.0,0.0892736999958287,1
UBC1030,1.0,0.8260869565217391,0.9047619047619048,0.0,0.0304542999947443,1.0,1.0,1.0,0.0,0.1404585998971015,1.0,1.0,1.0,0.0,0.0772061000025132,1.0,1.0,1.0,0.0,0.1591802000039024,1.0,1.0,1.0,0.0,0.0344126999989384,1.0,1.0,1.0,0.0,0.0675279999995837,1.0,1.0,1.0,0.0,0.0679229000015766,0.0,0.0,0.0,1.0,0.0744623999999021,0
UBC1031,1.0,1.0,1.0,0.0,0.036156199996185,1.0,0.9333333333333332,0.9655172413793104,0.0,0.1529481000034138,1.0,1.0,1.0,0.0,0.0813200999982655,1.0,1.0,1.0,0.0,0.2657772999955341,1.0,1.0,1.0,0.0,0.0499282000018865,1.0,1.0,1.0,0.0,0.0821255000046221,1.0,1.0,1.0,0.0,0.0805303000015555,0.0,0.0,0.0,1.0,0.0874961999943479,2
UBC1032,1.0,0.8125,0.896551724137931,0.0,0.0317569999970146,1.0,1.0,1.0,0.0,0.1209722999483347,1.0,1.0,1.0,0.0,0.0642716999936965,1.0,1.0,1.0,0.0,0.1038246999960392,1.0,1.0,1.0,0.0,0.032520900000236,1.0,1.0,1.0,0.0,0.0650722999998834,1.0,1.0,1.0,0.0,0.0631117000011727,0.0,0.0,0.0,1.0,0.0722578999993857,0
UBC1033,1.0,0.9705882352941176,0.9850746268656716,0.0,0.0286309000002802,1.0,0.9696969696969696,0.9846153846153848,0.0,0.1274125999771058,1.0,0.9705882352941176,0.9850746268656716,0.0,0.1381336999984341,1.0,0.9705882352941176,0.9850746268656716,0.0,0.19999480000115,1.0,0.9705882352941176,0.9850746268656716,0.0,0.0409144000004744,1.0,0.9705882352941176,0.9850746268656716,0.0,0.0814978999987943,1.0,1.0,1.0,0.0,0.0758400999984587,0.1680672268907563,0.5882352941176471,0.261437908496732,0.8319327731092436,0.0855356000029132,1
UBC1034,1.0,1.0,1.0,0.0,0.0294530999963171,1.0,1.0,1.0,0.0,0.1554392999969422,1.0,1.0,1.0,0.0,0.1001422999979695,1.0,1.0,1.0,0.0,0.2703652999989572,1.0,1.0,1.0,0.0,0.0400481000033323,1.0,1.0,1.0,0.0,0.1038124999977299,1.0,1.0,1.0,0.0,0.0824079000012716,0.0,0.0,0.0,1.0,0.0881002999958582,0
UBC1035,1.0,1.0,1.0,0.0,0.0496701000010944,1.0,0.8839285714285714,0.9383886255924172,0.0,0.1587121000047773,1.0,1.0,1.0,0.0,0.1031862000018009,1.0,1.0,1.0,0.0,0.651551399998425,1.0,1.0,1.0,0.0,0.0517528999989735,1.0,1.0,1.0,0.0,0.0912829000008059,1.0,1.0,1.0,0.0,0.0927733999997144,0.9491525423728814,1.0,0.9739130434782608,0.0508474576271186,0.0988299999953596,2
UBC1036,1.0,0.9821428571428572,0.9909909909909907,0.0,0.0447770999962813,1.0,0.9553571428571428,0.9771689497716896,0.0,0.1451771000865847,1.0,0.9821428571428572,0.9909909909909907,0.0,0.0953561999995145,1.0,1.0,1.0,0.0,0.6383115999997244,1.0,0.9821428571428572,0.9909909909909907,0.0,0.0471523999949567,1.0,0.9821428571428572,0.9909909909909907,0.0,0.0923543999961111,1.0,0.9821428571428572,0.9909909909909907,0.0,0.0958322000005864,0.9491525423728814,1.0,0.9739130434782608,0.0508474576271186,0.098056800001359,1
