cluster,method,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,extra_1,extra_2
UBC1244,gmm_bic,20105,20106,1,105,105,1.0,0.9905660377358492,0.9952606635071092,0.0,0.7501963999820873,center0,0.0,6640.540262197019,GMM|k=5|cv=dia,157.0,105.0
UBC1245,gmm_bic,3818,3819,1,18,190,0.0,0.0,0.0,1.0,1.0046939000021666,center0,0.0,18323.62019011257,GMM|k=5|cv=ful,190.0,644.0
UBC1246,gmm_bic,13461,13462,1,66,673,0.0,0.0,0.0,1.0,0.7293979999376461,center0,0.0,10426.361204083005,GMM|k=3|cv=ful,673.0,739.0
UBC1247,gmm_bic,3014,3014,0,14,150,0.0,0.0,0.0,1.0,0.8803284999448806,center0,0.0,17043.912267846466,GMM|k=5|cv=ful,150.0,939.0
UBC1248,gmm_bic,7437,7437,0,37,371,0.0,0.0,0.0,1.0,0.9183603000128642,center0,0.0,15545.83479974127,GMM|k=5|cv=dia,371.0,644.0
UBC1249,gmm_bic,19697,19698,1,97,97,1.0,0.9897959183673468,0.9948717948717948,0.0,0.4608604999957606,center0,0.0,5069.936146228298,GMM|k=5|cv=ful,144.0,97.0
UBC1250,gmm_bic,5627,5628,1,27,27,1.0,0.9642857142857144,0.9818181818181818,0.0,0.8552992000477389,center0,0.0,14498.464693515283,GMM|k=5|cv=ful,50.0,27.0
UBC1251,gmm_bic,3818,3819,1,18,19,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.0526315789473684,1.234580499934964,center0,0.0,15946.879019229396,GMM|k=5|cv=ful,50.0,19.0
UBC1252,gmm_bic,4422,4422,0,22,22,1.0,1.0,1.0,0.0,1.1714220000430942,center0,0.0,12463.523973910793,GMM|k=5|cv=ful,50.0,22.0
UBC1253,gmm_bic,8241,8241,0,41,300,0.0,0.0,0.0,1.0,0.5458401000360027,center0,0.0,13913.434048627378,GMM|k=5|cv=dia,412.0,300.0
UBC1254,gmm_bic,20108,20109,1,108,112,0.9553571428571428,0.981651376146789,0.9683257918552036,0.044642857142857,0.6133169999811798,center0,0.0,6668.275227038845,GMM|k=5|cv=ful,163.0,112.0
UBC1255,gmm_bic,12662,12663,1,62,62,1.0,0.984126984126984,0.992,0.0,0.637262100004591,center0,0.0,6220.524544906626,GMM|k=4|cv=ful,91.0,62.0
UBC1256,gmm_bic,11455,11456,1,56,440,0.0,0.0,0.0,1.0,0.7878251998918131,center0,0.0,10475.099583600522,GMM|k=5|cv=dia,572.0,440.0
UBC1257,gmm_bic,3011,3011,0,11,150,0.0,0.0,0.0,1.0,0.9618496000766754,center0,0.0,17697.380590723962,GMM|k=5|cv=dia,150.0,696.0
UBC1258,gmm_bic,4824,4824,0,24,241,0.0,0.0,0.0,1.0,1.2344254000345245,center0,0.0,15459.02930685757,GMM|k=5|cv=ful,241.0,250.0
UBC1259,gmm_bic,4020,4020,0,20,201,0.0,0.0,0.0,1.0,0.9200825000880286,center0,0.0,16445.793410275935,GMM|k=5|cv=dia,201.0,381.0
UBC1260,gmm_bic,3618,3618,0,18,73,0.2465753424657534,1.0,0.3956043956043955,0.7534246575342466,1.023454500013031,center0,0.0,17403.772701709255,GMM|k=5|cv=ful,106.0,73.0
UBC1261,gmm_bic,6432,6432,0,32,32,1.0,1.0,1.0,0.0,1.144863300025463,center0,0.0,11841.53639265774,GMM|k=5|cv=ful,50.0,32.0
UBC1262,gmm_bic,10452,10452,0,52,163,0.3190184049079754,1.0,0.4837209302325581,0.6809815950920246,0.9583976999856532,center0,0.0,9527.40990111111,GMM|k=5|cv=ful,241.0,163.0
UBC1263,gmm_bic,7838,7839,1,38,38,1.0,0.9743589743589745,0.9870129870129868,0.0,1.0183078999398276,center0,0.0,7406.422128169521,GMM|k=5|cv=ful,55.0,38.0
UBC1264,gmm_bic,7437,7437,0,37,37,1.0,1.0,1.0,0.0,0.5445770000806078,center0,0.0,11989.221205203516,GMM|k=5|cv=ful,55.0,37.0
UBC1265,gmm_bic,9612,9612,0,48,410,0.0,0.0,0.0,1.0,0.8869597000302747,center0,0.0,8893.172974777232,GMM|k=4|cv=ful,480.0,410.0
UBC1266,gmm_bic,3012,3012,0,12,150,0.0,0.0,0.0,1.0,0.8761609999928623,center0,0.0,13311.712374179348,GMM|k=5|cv=ful,150.0,893.0
UBC1267,gmm_bic,7839,7839,0,39,391,0.0,0.0,0.0,1.0,0.9047155000735074,center0,0.0,9943.4094629035,GMM|k=5|cv=dia,391.0,714.0
