cluster,method,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,extra_1,extra_2
UBC1333,heuristic_cut,5427,5427,0,27,27,1.0,1.0,1.0,0.0,0.0092632999876514,center0,0.0,0.684457421060009,HC_SINGLE_SIGMA_2.50,483.0,
UBC1334,heuristic_cut,4422,4422,0,22,22,1.0,1.0,1.0,0.0,0.0072308999951928,center0,0.0,0.6489928119915007,HC_SINGLE_SIGMA_2.50,489.0,
UBC1335,heuristic_cut,4422,4422,0,22,22,1.0,1.0,1.0,0.0,0.006632599979639,center0,0.0,0.6497539968328951,HC_SINGLE_SIGMA_2.50,482.0,
UBC1336,heuristic_cut,5829,5829,0,29,30,0.9666666666666668,1.0,0.983050847457627,0.0333333333333333,0.0090073999017477,center0,0.0,0.7188475699232039,HC_SINGLE_SIGMA_2.50,482.0,
UBC1337,heuristic_cut,8241,8241,0,41,41,1.0,1.0,1.0,0.0,0.0101606000680476,center0,0.0,0.7765022839317038,HC_SINGLE_SIGMA_2.50,486.0,
UBC1338,heuristic_cut,13668,13668,0,68,68,1.0,1.0,1.0,0.0,0.0169084999943152,center0,0.0,0.9022462519363548,HC_SINGLE_SIGMA_2.50,485.0,
UBC1339,heuristic_cut,20101,20101,0,102,355,0.1380281690140845,0.4803921568627451,0.2144420131291028,0.8619718309859155,0.0245089000090956,center0,0.0,1.4931382460181997,HC_SINGLE_SIGMA_2.50,487.0,
UBC1340,heuristic_cut,3011,3011,0,11,363,0.0,0.0,0.0,1.0,0.0123698000097647,center0,0.0,2.44270401266309,HC_SINGLE_SIGMA_2.50,484.0,
UBC1341,heuristic_cut,5427,5427,0,27,27,1.0,1.0,1.0,0.0,0.0105152999749407,center0,0.0,0.6853128333942127,HC_SINGLE_SIGMA_2.50,487.0,
UBC1342,heuristic_cut,3013,3013,0,13,297,0.0,0.0,0.0,1.0,0.0108955000760033,center0,0.0,2.9129332065021307,HC_SINGLE_SIGMA_2.50,488.0,
UBC1343,heuristic_cut,5025,5025,0,25,25,1.0,1.0,1.0,0.0,0.0217038000700995,center0,0.0,0.6835255212156608,HC_SINGLE_SIGMA_2.50,485.0,
UBC1344,heuristic_cut,8442,8442,0,42,42,1.0,1.0,1.0,0.0,0.011767000076361,center0,0.0,0.783285068842362,HC_SINGLE_SIGMA_2.50,479.0,
